名次,歌名,歌手,語言,年分,專輯
59,你愛咱的無仝款,拍謝少年,台語,2021,《歹勢好勢》
60,北海道之戀,謝宜君vs楊哲,台語,2021,《北海道之戀》
61,愛的Tempo,王中平、一綾,台語,2021,《愛的Tempo》
62,一生憨一回,鄔兆邦vs陳淑萍,台語,2021,《九份情歌》
63,佇世界安靜的時,拍謝少年,台語,2021,《歹勢好勢》
64,愛你剝袂離,郭婷筠、彭正,台語,2021,《心內有你是幸福》
65,百百人生,拍謝少年、陳惠婷,台語,2021,《歹勢好勢》
66,男人酒女人淚,陳隨意vs唐儷,台語,2021,《牡丹雨》
67,故鄉置這,詹雅雯,台語,2021,《幸福過敏》
68,今生愛一回,陳淑萍vs陳隨意,台語,2021,《胭脂花》
69,歹勢中年,拍謝少年,台語,2021,《歹勢好勢》
70,心愛別離開,陳淑萍vs楊哲,台語,2021,《胭脂花》
71,純情青春夢,PiA吳蓓雅,台語,2021,《成功的人》
72,虛華,蕭煌奇,台語,2021,《舞台》
73,彩色人生,吳申梅,台語,2021,《天燈》
74,再見的彼端,許富凱,台語,2021,《拾歌》
75,攪擾,蕭煌奇,台語,2021,《舞台》
76,無情的夜都市,蔡以真,台語,2021,《真女人》
77,雨夜相思淚,董育君vs吳俊宏,台語,2021,《雨夜相思淚》
78,愛是因為你,蘇宥蓉,台語,2021,《愛是因為你》
79,無妳的我,張燕清,台語,2021,《只要妳幸福》
80,星兒亮晶晶,謝金晶,台語,2021,《星兒亮晶晶》
81,你哪會不識我,楊哲VS謝宜君,台語,2021,《賢妻》
82,幸福過敏,詹雅雯,台語,2021,《幸福過敏》
83,讓愛飛翔,豪記之星,台語,2021,《讓愛飛翔》
84,可愛的人心愛的人,蕭煌奇,台語,2021,《舞台》
85,九份情歌,鄔兆邦,台語,2021,《九份情歌》
86,紅顏女人花,一綾,台語,2021,《愛你第一名》
87,Darling 來跳舞,蕭煌奇,台語,2021,《舞台》
88,三個愛人,小熱唱 王彥之,台語,2021,《三個愛人》
89,夢見蘇西,朱海君,台語,2021,《夢見蘇西》
90,賢妻,揚哲,台語,2021,《賢妻》
91,癡心石,蔡以真、陳子賢,台語,2021,《真女人》
92,雨中的煙花,謝金晶,台語,2021,《星兒亮晶晶》
93,咱的緣咱的命,張燕清、林娜,台語,2021,《只要妳幸福》
94,痴心淚,翁立友,台語,2021,《放你飛》
95,山盟,拍謝少年,台語,2021,《歹勢好勢》
96,衝過情關,劉信明,台語,2021,《衝過情關》
97,漂泊的眼淚,袁小迪、麗蓉,台語,2021,《問你敢不敢》
98,紅塵一場夢,陳隨意,台語,2021,《牡丹雨》
99,問你敢不敢,袁小迪,台語,2021,《問你敢不敢》
100,時代看顧正義的人,拍謝少年、柯仁堅,台語,2021,《歹勢好勢》
1,Stars Align,"R3HAB, Jolin Tsai",西洋,2021,《Stars Align》
2,Peaches,"Justin Bieber, Daniel Caesar, Giveon",西洋,2021,《Justice》
3,STAY,"The Kid LAROI, Justin Bieber",西洋,2021,《STAY》
4,On The Ground,ROSÉ,西洋,2021,《R》
5,Afterglow,Ed Sheeran,西洋,2021,《Afterglow》
6,Bad Habits,Ed Sheeran,西洋,2021,《Bad Habits》
7,At My Worst,"Pink Sweat$, Kehlani",西洋,2021,《At My Worst》
8,Beautiful Mistakes,"Maroon 5, Megan Thee Stallion",西洋,2021,《JORDI》
9,Hold On,Justin Bieber,西洋,2021,《Hold On》
10,SLIDE,ØZI,西洋,2021,《SLIDE》
11,Anyone,Justin Bieber,西洋,2021,《Anyone》
12,Gone,ROSÉ,西洋,2021,《R》
13,Butter,BTS,西洋,2021,《Butter》
14,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",西洋,2021,《Leave The Door Open》
15,Shivers,Ed Sheeran,西洋,2021,《Shivers》
16,Bedroom,"JJ Lin, Anne-Marie",西洋,2021,《Bedroom》
17,Easy On Me,Adele (愛黛兒),西洋,2021,《Easy On Me》
18,Love Story,Taylor Swift,西洋,2021,《Love Story》
19,Kiss Me More,"Doja Cat, SZA",西洋,2021,《Kiss Me More》
20,Permission to Dance,BTS,西洋,2021,《Permission to Dance》
21,0.03,ØZI,西洋,2021,《0.03》
22,willow,Taylor Swift,西洋,2021,《evermore》
23,Vibez,ZAYN,西洋,2021,《Vibez》
24,drivers license,Olivia Rodrigo,西洋,2021,《Hits Brasil 2021》
25,Like You Do,JJ Lin,西洋,2021,《Like You Do》
26,Higher,"Clean Bandit, iann dior",西洋,2021,《Higher》
27,The Way You Felt,Alec Benjamin,西洋,2021,《The Way You Felt》
28,The Feels,TWICE,西洋,2021,《The Feels》
29,honest,"Gareth.T, moon tang",西洋,2021,《honest》
30,Running Out Of Roses,"Alan Walker, Jamie Miller",西洋,2021,《Walker Racing League》
31,Grey,Why Don't We,西洋,2021,《The Good Times and The Bad Ones》
32,Feels Like You,Faime,西洋,2021,《Journeys》
33,My Universe,"Coldplay, BTS",西洋,2021,《My Universe》
34,Save Your Tears,"The Weeknd, Ariana Grande",西洋,2021,《Save Your Tears》
35,Renegades,ONE OK ROCK,西洋,2021,《Renegades》
36,Equal in the Darkness,"Steve Aoki, Jolin Tsai, MAX",西洋,2021,《Equal in the Darkness》
37,Flames,"MOD SUN, Avril Lavigne",西洋,2021,《Flames》
38,MONEY,LISA,西洋,2021,《LALISA》
39,Love Me Like That,Sam Kim,西洋,2021,"《Nevertheless,》"
40,Our Song,"Anne-Marie, Niall Horan",西洋,2021,《Our Song》
41,Break My Heart,JC Stewart,西洋,2021,《Break My Heart》
42,dancing in the kitchen,Zachary Knowles,西洋,2021,《dancing in the kitchen》
43,hair tie,ØZI,西洋,2021,《hair tie》
44,Hide and Seek,Peder Elias,西洋,2021,《Hide and Seek》
45,You for Me,"Sigala, RITA ORA",西洋,2021,《You for Me》
46,Visiting Hours,Ed Sheeran,西洋,2021,《Visiting Hours》
47,34+35,"Ariana Grande, Doja Cat, Megan Thee Stallion",西洋,2021,《34+35》
48,Lead the Way,Jhené Aiko,西洋,2021,《Raya and the Last Dragon》
49,cheers,blackbear,西洋,2021,《cheers》
50,working,"Tate McRae, Khalid",西洋,2021,《working》
51,boyfriend material,Gareth.T,西洋,2021,《boyfriend material》
52,beside you,keshi,西洋,2021,《beside you》
53,when was it over?,"Sasha Alex Sloan, Sam Hunt",西洋,2021,《when was it over?》
55,Picture Of You,Sara Kays,西洋,2021,《Picture Of You》
56,Overdrive,Conan Gray,西洋,2021,《Overdrive》
57,Talk About Love,"Zara Larsson, Young Thug",西洋,2021,《Talk About Love》
58,Backseat Rider,Sara Kays,西洋,2021,《Backseat Rider》
59,Flags,Coldplay,西洋,2021,《Flags》
60,deja vu,Olivia Rodrigo,西洋,2021,《SOUR》
61,you won't be there for me,slchld,西洋,2021,《you won't be there for me》
62,Big,"RITA ORA, David Guetta, Imanbek, Gunna",西洋,2021,《Bang》
63,LUFU,"ØZI, Arin Ray, GSoul",西洋,2021,《PEDESTAL》
64,Try Again,"DallasK, Lauv",西洋,2021,《Try Again》
65,If You Love Her,"Forest Blakk, Meghan Trainor",西洋,2021,《If You Love Her》
66,Mr. Perfectly Fine,Taylor Swift,西洋,2021,《Fearless》
67,Connexion,ZAYN,西洋,2021,《Nobody Is Listening》
68,Leave Before You Love Me,"Marshmello, Jonas Brothers",西洋,2021,《Leave Before You Love Me》
69,Lifestyle,"Jason Derulo, Adam Levine",西洋,2021,《Lifestyle》
70,You,"Regard, Troye Sivan, Tate McRae",西洋,2021,《You》
71,We're Good,Dua Lipa,西洋,2021,《Future Nostalgia》
72,New Love,"Silk City, Ellie Goulding, Diplo, Mark Ronson",西洋,2021,《New Love》
73,Cheap Love,"WeiBird, Ben&Ben",西洋,2021,《Cheap Love》
74,Easy,"Troye Sivan, Kacey Musgraves, Mark Ronson",西洋,2021,《Easy》
75,BED,"Joel Corry, RAYE, David Guetta",西洋,2021,《BED》
76,We Are The People,"Martin Garrix, Bono, The Edge",西洋,2021,《We Are The People》
77,I Quit Drinking,"Kelsea Ballerini, LANY",西洋,2021,《I Quit Drinking》
78,Tomorrow,Fly By Midnight,西洋,2021,《Tomorrow》
79,Name,"Justin Bieber, Tori Kelly",西洋,2021,《Justice》
80,this is how you fall in love,"Jeremy Zucker, Chelsea Cutler",西洋,2021,《brent ii》
81,Kiss My,Anne-Marie x Little Mix,西洋,2021,《Therapy》
82,THATS WHAT I WANT,Lil Nas X,西洋,2021,《MONTERO》
83,Glad You Exist,Dan + Shay,西洋,2021,《Glad You Exist》
84,Oh My God,Adele (愛黛兒),西洋,2021,《30》
85,Believers,"Alan Walker, Conor Maynard",西洋,2021,《Believers》
86,Higher Power,Coldplay,西洋,2021,《Higher Power》
87,Bite Me,Avril Lavigne,西洋,2021,《Bite Me》
88,Steal My Love,Dan + Shay,西洋,2021,《Good Things》
89,California,"88rising, Rich Brian, NIKI, Warren Hue",西洋,2021,《California》
90,Up,Cardi B,西洋,2021,《Up》
91,Beautiful,Anne-Marie,西洋,2021,《Beautiful》
92,I Could Be Yours,黃玠瑋,西洋,2021,《I Could Be Yours》
93,stranger to me,Zachary Knowles,西洋,2021,《stranger to me》
94,Love Me Now,"Kygo, Zoe Wees",西洋,2021,《Love Me Now》
95,emily,"Jeremy Zucker, Chelsea Cutler",西洋,2021,《brent ii》
96,Real Groove,"Kylie Minogue, Dua Lipa",西洋,2021,《Real Groove》
97,Astronaut In The Ocean,Masked Wolf,西洋,2021,《Astronaut In The Ocean》
98,Space Melody,"VIZE, Alan Walker, Leony, Edward Artemyev",西洋,2021,《Space Melody》
99,A Day At A Time,"Gentle Bones, Clara Benin",西洋,2021,《A Day At A Time》
100,Baila Conmigo,"Selena Gomez, Rauw Alejandro",西洋,2021,《Hits Brasil 2021》
1,怪物,YOASOBI,日語,2021,《怪物》
2,ハルカ,YOASOBI,日語,2021,《ハルカ》
3,Kaikai Kitan,Eve,日語,2021,《Kaikai Kitan / Ao No Waltz》
4,優しい彗星,YOASOBI,日語,2021,《優しい彗星》
5,アンコール,YOASOBI,日語,2021,《THE BOOK》
6,もう少しだけ,YOASOBI,日語,2021,《もう少しだけ》
7,One Last Kiss,宇多田ヒカル,日語,2021,《One Last Kiss》
8,Pale Blue,米津玄師,日語,2021,《Pale Blue》
9,三原色,YOASOBI,日語,2021,《三原色》
10,ギラギラ,Ado,日語,2021,《ギラギラ》
11,Star,SUPER JUNIOR,日語,2021,《Star》
12,Film out,BTS,日語,2021,《Film out》
13,大正浪漫,YOASOBI,日語,2021,《大正浪漫》
14,On and On,SUPER JUNIOR,日語,2021,《Star》
15,紅蓮華,LiSA,日語,2021,《紅蓮華》
16,死神,米津玄師,日語,2021,《Pale Blue》
17,たぶん,YOASOBI,日語,2021,《THE BOOK》
18,僕の戦争,SHINSEI KAMATTE CHAN (SHINSEI KAMATTE CHAN),日語,2021,《僕の戦争》
19,踊,Ado,日語,2021,《踊》
20,ラブレター,YOASOBI,日語,2021,《ラブレター》
21,Devil -Japanese Version-,SUPER JUNIOR,日語,2021,《Star》
22,Black Suit -Japanese Version-,SUPER JUNIOR,日語,2021,《Star》
23,Coming Home,利特 (LEETEUK),日語,2021,《Star》
24,Wow! Wow!! Wow!!!,SUPER JUNIOR,日語,2021,《Star》
25,MAMACITA -AYAYA- -Japanese Version-,SUPER JUNIOR,日語,2021,《Star》
26,I Think I -Japanese Version-,SUPER JUNIOR,日語,2021,《Star》
27,Blue World,SUPER JUNIOR,日語,2021,《Star》
28,One More Time,SUPER JUNIOR,日語,2021,《Star》
29,不思議-日劇《打扮的戀愛是有理由的》主題曲,星野源,日語,2021,《不思議》
30,Magic -Japanese Version-,SUPER JUNIOR,日語,2021,《Star》
31,Saturday Night,SUPER JUNIOR-D&E(東海&銀赫),日語,2021,《Star》
32,雨後晴空的色彩,藝聲 (YESUNG),日語,2021,《Star》
33,Splash,藝聲 (YESUNG),日語,2021,《Star》
34,SUNRISE,SUPER JUNIOR-D&E(東海&銀赫),日語,2021,《Star》
35,JOIN HANDS,SUPER JUNIOR-K.R.Y.,日語,2021,《Star》
36,MOTORCYCLE,SUPER JUNIOR-D&E(東海&銀赫),日語,2021,《Star》
37,櫻花綻放之時,厲旭 (RYEOWOOK),日語,2021,《Star》
38,Celebration ~ 通往你的橋樑 ~,圭賢 (KYUHYUN),日語,2021,《Star》
39,Let’s Get It On,SUPER JUNIOR-D&E(東海&銀赫),日語,2021,《Star》
40,Because I Love You ~珍愛牽絆~,藝聲 (YESUNG),日語,2021,《Star》
41,Avid,SawanoHiroyuki[nZk]:mizuki,日語,2021,《Avid / Hands Up to the Sky》
42,明け星,LiSA,日語,2021,《明け星》
43,我的真摯愛情喜劇,圭賢 (KYUHYUN),日語,2021,《Star》
44,夜に駆ける,YOASOBI,日語,2021,《THE BOOK》
45,Cry Baby,Official髭男dism,日語,2021,《Cry Baby》
46,残響散歌,Aimer,日語,2021,《残響散歌》
47,dawn,LiSA,日語,2021,《dawn》
48,我回來了-日劇「天國與地獄」主題曲,手嶌葵,日語,2021,《我回來了》
49,星を仰ぐ,菅田　将暉,日語,2021,《星を仰ぐ》
50,君に夢中,宇多田ヒカル,日語,2021,《君に夢中》
51,在懂愛之前,あいみょん,日語,2021,《在懂愛之前》
52,正しくなれない,ずっと真夜中でいいのに。,日語,2021,《正しくなれない》
53,色香水,神山羊,日語,2021,《色香水》
54,往け,LiSA,日語,2021,《往け》
55,VIVID VICE,Who-ya Extended,日語,2021,《VIVID VICE》
56,麻痺,yama,日語,2021,《麻痺》
57,季路,Aimer,日語,2021,《季路》
58,春泥棒,ヨルシカ,日語,2021,《春泥棒》
59,空與青,家入レオ,日語,2021,《空與青》
60,Kura Kura,TWICE,日語,2021,《Kura Kura》
61,Epilogue,YOASOBI,日語,2021,《THE BOOK》
62,Perfect World,TWICE,日語,2021,《Perfect World》
63,衝撃,Yuko Ando (Yuko Ando),日語,2021,《衝撃》
64,Answer,幾田りら,日語,2021,《Answer》
65,Universe,Official髭男dism,日語,2021,《Universe》
66,ＳＵＮ　ＲＡＹＳ,やまだ豊,日語,2021,《ＮＥＴＦＬＩＸオリジナル「今際の国のアリス」ＯＲＩＧＩＮＡＬ　ＳＯＵＮＤＴＲＡＣＫ》
67,ツバメ,"YOASOBI, ミドリーズ",日語,2021,《ツバメ》
68,Prologue,YOASOBI,日語,2021,《THE BOOK》
69,僕の戦争,Shinsei Kamatte Chan (Shinsei Kamatte Chan),日語,2021,《僕の戦争》
70,Ao No Waltz,Eve,日語,2021,《Kaikai Kitan / Ao No Waltz》
71,夜のピエロ,Ado,日語,2021,《夜のピエロ》
72,名前のない日々へ,yama,日語,2021,《名前のない日々へ》
73,落櫻繽紛的夜,あいみょん,日語,2021,《落櫻繽紛的夜》
74,怪盗,back number,日語,2021,《怪盗》
75,Wings,SUPER JUNIOR-D&E,日語,2021,《Wings》
76,time,SawanoHiroyuki[nZk]:ReoNa,日語,2021,《time》
77,結証,緑黄色社会,日語,2021,《結証》
78,旅路,藤井 風,日語,2021,《旅路》
79,Ordinary days,milet,日語,2021,《Ordinary days》
80,群青,YOASOBI,日語,2021,《THE BOOK》
81,ベテルギウス,優里,日語,2021,《ベテルギウス》
82,ツキミソウ,Novelbright,日語,2021,《ツキミソウ》
83,Oz.,yama,日語,2021,《Oz.》
84,Shinkai,Eve,日語,2021,《Kaikai Kitan / Ao No Waltz》
85,好想你,Ado,日語,2021,《好想你》
86,ないない,ReoNa,日語,2021,《ないない》
87,KING,Kanaria,日語,2021,《KING》
88,レディメイド,Ado,日語,2021,《レディメイド》
89,Not the End,安田　レイ,日語,2021,《Not the End》
90,ever after,Aimer,日語,2021,《Walpurgis》
91,追い風,SHE'S,日語,2021,《追い風》
92,リナリア,まるりとりゅうが,日語,2021,《リナリア》
93,ハルジオン,YOASOBI,日語,2021,《THE BOOK》
94,夏霞,あたらよ,日語,2021,《夏霞》
95,give it back,Cö shu Nie,日語,2021,《give it back》
96,Go Ahead,"¥ellow Bucks, ØZI",日語,2021,《Go Ahead》
97,あの夢をなぞって,YOASOBI,日語,2021,《THE BOOK》
98,ハート,あいみょん,日語,2021,《ハート》
99,Sing My Pleasure,ヴィヴィ（Vo.八木海莉）,日語,2021,《Sing My Pleasure》
100,もしも命が描けたら,YOASOBI,日語,2021,《THE BOOK 2》
1,Celebrity,IU,韓語,2021,《Celebrity》
2,House Party,SUPER JUNIOR,韓語,2021,《第十張正規專輯『The Renaissance』》
3,Burn The Floor,SUPER JUNIOR,韓語,2021,《第十張正規專輯『The Renaissance』》
4,More Days with You,SUPER JUNIOR,韓語,2021,《第十張正規專輯『The Renaissance』》
5,The Melody,SUPER JUNIOR,韓語,2021,《第十張正規專輯『The Renaissance』》
6,Closer,SUPER JUNIOR,韓語,2021,《第十張正規專輯『The Renaissance』》
7,Raining Spell for Love,SUPER JUNIOR,韓語,2021,《第十張正規專輯『The Renaissance』》
8,Paradox,SUPER JUNIOR,韓語,2021,《第十張正規專輯『The Renaissance』》
9,Mystery,SUPER JUNIOR,韓語,2021,《第十張正規專輯『The Renaissance』》
10,SUPER,SUPER JUNIOR,韓語,2021,《第十張正規專輯『The Renaissance』》
11,Tell Me Baby,SUPER JUNIOR,韓語,2021,《第十張正規專輯『The Renaissance』》
12,I'm Not Cool,泫雅 (HyunA),韓語,2021,《I'm Not Cool》
13,LILAC,IU,韓語,2021,《IU 5th Album 'LILAC'》
14,HWAA,ジーアイドゥル,韓語,2021,《I burn》
15,LALISA,리사 (LISA),韓語,2021,《LALISA》
16,CRY FOR ME,TWICE,韓語,2021,《CRY FOR ME》
17,Next Level,aespa,韓語,2021,《Next Level》
18,DUMB DUMB,전소미,韓語,2021,《DUMB DUMB》
19,Alcohol-Free,TWICE,韓語,2021,《Taste of Love》
20,In the morning,ITZY,韓語,2021,《GUESS WHO》
21,어떤X,Jessi,韓語,2021,《어떤X》
